%time,field.data
1500381773881348614,676
1500381773932159400,673
1500381773982246163,674
1500381774032250181,676
1500381774082399877,676
1500381774132186782,676
1500381774181235279,675
1500381774232211931,676
1500381774282192838,674
1500381774332252813,676
1500381774382390802,675
1500381774432095858,674
1500381774481177013,676
1500381774532152593,674
1500381774582154131,676
1500381774632194899,674
1500381774682011965,630
1500381774731026319,676
1500381774781164795,677
1500381774831105284,676
1500381774882023326,675
1500381774932001220,635
1500381774981973556,630
1500381775031124022,677
1500381775081177260,675
1500381775131076660,677
1500381775182054901,634
1500381775232008988,676
1500381775282066901,675
1500381775331119533,628
1500381775381345559,674
1500381775431148508,676
1500381775482181383,673
1500381775531889714,676
1500381775582017199,676
1500381775631099974,676
1500381775680953454,676
1500381775731745128,675
1500381775781833360,676
1500381775831968111,671
1500381775881755365,677
1500381775930889802,674
1500381775980765883,676
1500381776031585635,676
1500381776081595198,675
1500381776131721358,676
1500381776181562540,675
1500381776231604237,677
1500381776281617854,676
1500381776332552519,673
1500381776382699770,672
1500381776432595461,675
1500381776481491806,676
1500381776531607594,637
1500381776581471000,676
1500381776632620622,629
1500381776682483148,675
1500381776732421569,675
1500381776781315677,676
1500381776831583199,675
1500381776881337276,625
1500381776932276939,676
1500381776982401004,676
1500381777032356181,675
1500381777081245731,678
1500381777131259750,635
1500381777181372386,675
1500381777232313623,676
1500381777282359322,676
1500381777332543397,675
1500381777381395748,675
1500381777431278974,677
1500381777481178673,671
1500381777532158848,676
1500381777582198648,675
1500381777632109253,674
1500381777682116265,676
1500381777732059132,636
1500381777783231895,676
1500381777833087267,675
1500381777883089298,676
1500381777932035408,675
1500381777982012470,676
1500381778032024190,674
1500381778082927239,672
1500381778132949919,674
1500381778182858940,675
1500381778231925488,675
1500381778282055306,674
1500381778331906928,674
1500381778383277868,677
1500381778433077778,676
1500381778482924948,675
1500381778531863338,674
1500381778581854283,628
1500381778631777801,677
1500381778682829234,673
1500381778732805544,676
1500381778782818097,675
1500381778831864580,629
1500381778881690755,676
1500381778931626154,629
1500381778982618838,675
1500381779032756386,677
1500381779081616959,634
1500381779131632294,675
1500381779181677511,675
1500381779231562319,676
1500381779282663507,635
1500381779332804000,675
1500381779381829453,676
1500381779431712395,676
1500381779481573169,676
1500381779531583829,676
1500381779582544725,673
1500381779632640330,675
1500381779681608223,676
1500381779731535873,676
1500381779781492454,676
1500381779831516649,674
1500381779882427588,675
1500381779932410118,675
1500381779981317324,676
1500381780031379498,677
1500381780081258248,674
1500381780131305259,674
1500381780182382227,674
1500381780232446811,677
1500381780281282186,676
1500381780331317653,677
1500381780381803010,675
1500381780431471732,676
1500381780482338906,630
1500381780532155896,674
1500381780582415271,676
1500381780632281457,676
1500381780682189389,676
1500381780733215486,675
1500381780783272068,634
1500381780832247091,671
1500381780882125912,676
1500381780932273029,676
1500381780982100724,676
1500381781032049321,675
1500381781083205927,676
1500381781132035884,677
1500381781181954410,676
1500381781232038484,674
1500381781282052465,674
1500381781332930102,675
1500381781383157574,675
1500381781431875448,675
1500381781482073559,676
1500381781532112743,675
1500381781581835941,675
1500381781631889658,677
1500381781682938889,630
1500381781731853807,674
1500381781781776219,677
1500381781831827699,676
1500381781881843199,674
1500381781932901968,673
1500381781982783410,677
1500381782032588000,670
1500381782082726379,676
1500381782132712967,677
1500381782182571536,675
1500381782233711608,673
1500381782282795516,677
1500381782332752760,675
1500381782382868862,675
1500381782432606071,676
1500381782482636098,630
1500381782533701824,671
1500381782582590964,675
1500381782632605664,676
1500381782682683782,676
1500381782732551644,634
1500381782782618837,675
1500381782833571391,673
1500381782882626493,674
1500381782932430565,676
1500381782982494210,663
1500381783032533347,675
1500381783082398852,675
1500381783133417359,675
1500381783182434345,676
1500381783232490792,635
1500381783282658481,676
1500381783332583270,676
1500381783382602589,675
1500381783432341983,674
1500381783482386169,676
1500381783532130742,677
1500381783582376892,675
1500381783632195574,674
1500381783682268758,675
1500381783732165314,675
1500381783782195863,675
1500381783832096431,676
1500381783882295313,675
1500381783932132190,676
1500381783983231305,676
1500381784032158717,676
1500381784082177762,674
1500381784132142152,675
1500381784182154205,675
1500381784231933104,676
1500381784281999044,676
1500381784332108379,676
1500381784382313847,675
1500381784431922869,627
1500381784481850888,675
1500381784531945783,676
1500381784582046149,676
1500381784631892891,674
1500381784681999150,629
1500381784731823108,676
1500381784781826870,635
1500381784831830424,676
1500381784881881645,676
1500381784932660022,634
1500381784982643078,677
1500381785032874262,675
1500381785082723992,675
1500381785132709686,676
1500381785182684700,673
1500381785232653929,675
1500381785282517305,674
1500381785332584081,676
1500381785382935247,676
1500381785432574273,676
1500381785482643824,674
1500381785532450459,676
1500381785582568034,676
1500381785632485097,628
1500381785682405768,677
1500381785733349549,675
1500381785782516310,675
1500381785832420934,675
1500381785882506228,676
1500381785932339807,675
1500381785982398765,635
1500381786032459137,675
1500381786082563554,675
1500381786132399792,676
1500381786182421304,675
1500381786232672317,676
1500381786282324959,675
1500381786332421134,676
1500381786383537169,628
1500381786433233156,676
1500381786483200410,674
1500381786533242615,676
1500381786583184239,676
1500381786632277844,628
1500381786683179173,674
1500381786733230971,675
